prompt_id,text_id,text_labels,response,text_JOB_value,text_ADJ_value,text_JOB_label,text_ADJ_label,text
zsl#0,t#0,INCLUSIVO," la frase si riferisce ad un pubblico generale neutro e la risposta è quindi ""INCLUSIVO""",,,,,"tnservice srl, agenzia per il lavoro (aut. min r. 0000157 del 09/11/2022) è specializzata nella selezione del personale."
zsl#0,t#1_JOB#0,TODO," la frase contiene la parola ""giornaista"" che è di genere ""neutro"" e quindi la risposta è ""INCLUSIVO""",giornaista,,neutro,,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando giornaista
zsl#0,t#1_JOB#1,TODO," la frase contiene la parola ""autista"" che è di genere ""neutro"" e quindi la risposta è ""INCLUSIVO""",autista,,neutro,,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando autista
zsl#0,t#1_JOB#2,TODO," la frase contiene la parola ""dentista"" che è di genere ""neutro"" e quindi la risposta è ""INCLUSIVO""",dentista,,neutro,,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando dentista
zsl#0,t#1_JOB#3,TODO," la frase contiene la parola ""ginnasta"" che è di genere ""neutro"" e quindi la risposta è ""INCLUSIVO""",ginnasta,,neutro,,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando ginnasta
zsl#0,t#1_JOB#4,TODO," la frase contiene la parola ""specializzato"" che è di genere ""maschile"" e quindi la risposta è ""NON INCLUSIVO""",consulente,,neutro,,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando consulente
zsl#0,t#1_JOB#5,TODO," la frase contiene la parola ""estetista"" che è di genere ""neutro"" e quindi la risposta è ""INCLUSIVO""",estetista,,neutro,,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando estetista
zsl#0,t#1_JOB#6,TODO," la frase contiene la parola ""farmacista"" che è di genere ""neutro"" e quindi la risposta è ""INCLUSIVO""",farmacista,,neutro,,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando farmacista
zsl#0,t#1_JOB#7,TODO," la frase contiene la parola ""contabile"" che è di genere ""neutro"" e quindi la risposta è ""INCLUSIVO""",contabile,,neutro,,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando contabile
zsl#0,t#1_JOB#8,TODO," la frase contiene la parola ""nutrizionista"" che è di genere ""neutro"" e quindi la risposta è ""INCLUSIVO""",nutrizionista,,neutro,,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando nutrizionista
